Country.Code,GDP.per.capita.2017,Under.5.Mortality.Rate.2017
ABW,25655.10202,NA
AFG,550.0684588,67.9
AGO,4100.289786,81.1
ALB,4537.579056,8.8
AND,39146.54884,3.3
ARB,6239.713933,36.66120181
ARE,40698.84934,9.1
ARG,14398.35877,10.4
ARM,3936.79832,12.6
ASM,11394.4753,NA
ATG,14803.01093,7.4
AUS,53799.93809,3.5
AUT,47290.91165,3.6
AZE,4131.61831,23
BDI,292.0052103,61.2
BEL,43323.80734,3.8
BEN,827.3936794,98.3
BFA,642.0371483,81.2
BGD,1516.51327,32.4
BGR,8227.960406,7.5
BHR,23655.0356,7.3
BHS,30762.01244,7.2
BIH,5148.208517,5.7
BLR,5727.511718,3.7
BLZ,4971.201636,14.2
BOL,3393.955818,34.9
BRA,9821.407686,14.8
BRB,16356.98011,12.4
BRN,28290.5852,10.5
BTN,3130.233543,30.8
BWA,7595.611141,37.6
CAF,418.411287,121.5
CAN,45032.11991,5.1
CEB,14159.23242,5.253083595
CHE,80189.69686,4.2
CHL,15346.4497,7.4
CHN,8826.994096,9.3
CIV,1537.504031,88.8
CMR,1451.865747,84
COD,462.7795441,91.1
COG,1654.010322,47.5
COL,6408.920012,14.7
COM,1312.333925,69
CPV,3244.409561,17.4
CRI,11677.26904,9
CSS,9448.224139,18.89113422
CUB,8433.092699,5.4
CYP,25233.57098,2.7
CZE,20368.13856,3.3
DEU,44469.90906,3.7
DJI,1927.589706,61.7
DMA,6719.337166,34
DNK,56307.5083,4.3
DOM,7052.258839,29.9
DZA,4055.247211,24
EAP,7126.385077,16.62576695
EAR,3513.220852,37.41085026
EAS,10368.48391,15.8
ECA,7947.079776,13.13674943
ECS,23422.19437,9
ECU,6273.488892,14.5
EGY,2412.727082,22.1
EMU,36870.17553,3.750166947
ERI,NA,43.1
ESP,28156.81584,3.1
EST,19704.65504,2.7
ETH,767.5634778,58.5
EUU,33723.2706,4.096864516
FCS,1608.798658,72.86363547
FIN,45703.32787,2.3
FJI,5589.388833,25.3
FRA,38476.65864,4.2
FSM,3187.556848,32.2
GAB,7413.795207,48.3
GBR,39720.44343,4.3
GEO,4057.286081,10.8
GHA,2046.109986,49.3
GIN,823.4937155,85.7
GMB,709.077158,63.6
GNB,723.6094119,84.2
GNQ,9697.630234,89.6
GRC,18613.42387,5.3
GRD,10451.02988,16.7
GTM,4470.989572,27.6
GUM,35675.79417,NA
GUY,4655.144448,31.3
HIC,41214.28084,5.4
HKG,46193.61452,NA
HND,2480.125929,18.2
HPC,970.6319121,70.88979283
HRV,13382.71985,4.6
HTI,765.6839246,71.7
HUN,14224.84646,4.5
IDN,3846.864323,25.4
IND,1942.097401,39.4
IRL,69330.69015,3.5
IRN,5593.853783,14.9
IRQ,5017.968065,30.4
ISL,70056.87339,2.1
ISR,40270.25135,3.6
ITA,31952.97592,3.4
JAM,5114.041081,15.2
JOR,4129.751664,17
JPN,38428.09732,2.6
KAZ,9030.383889,10
KEN,1594.834926,45.6
KGZ,1219.824048,20
KHM,1384.423187,29.2
KIR,1594.29287,54.6
KNA,17924.06546,13.7
KOR,29742.83886,3.3
KWT,29040.36371,8.1
LAC,8350.108418,18.54668829
LAO,2457.377414,63.4
LBN,8808.589448,7.8
