INDEX,TARGET,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,2946,0,34,1,12,125301.2425,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,45.70301258,Commercial,17430,1,Sports Car,no,0,0,No,0,7,Highly Urban/ Urban
2,6477,1,40,1,11,50815.44531,Yes,0,z_No,M,z_High School,Manager,20.59162765,Private,18930,6,Minivan,no,3295,1,No,2,1,Highly Urban/ Urban
4,2501,0,34,0,10,62977.82416,No,0,z_No,z_F,Bachelors,Clerical,33.63994919,Private,11200,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
5,6077,0,53,0,14,77099.96624,No,0,z_No,z_F,Masters,Lawyer,15.41567565,Private,18300,1,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban
6,1267,0,53,0,11,130794.5742,No,0,z_No,M,PhD,,63.83861001,Commercial,28340,6,Panel Truck,yes,0,0,No,3,10,Highly Urban/ Urban
7,2920.16732,0,45,0,0,0,No,106859.3699,Yes,z_F,<High School,Home Maker,48.36019147,Private,6000,1,z_SUV,no,0,0,No,3,5,Highly Urban/ Urban
8,4111,0,59,0,12,87460.05269,No,0,z_No,M,z_High School,Manager,45.0004876,Private,15420,1,Minivan,yes,44857,2,No,4,1,Highly Urban/ Urban
11,5247,0,60,0,12,37940.23442,No,182738.8545,Yes,z_F,z_High School,z_Blue Collar,15.66594707,Commercial,11290,1,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
12,4486,0,32,1,9,31274.72352,No,118160.4786,Yes,z_F,z_High School,Clerical,26.39296083,Private,10030,1,z_SUV,no,0,0,No,0,1,Highly Urban/ Urban
13,4901,0,54,0,12,33212.38966,No,158431.837,Yes,M,<High School,z_Blue Collar,27.49074868,Commercial,24000,4,Panel Truck,no,0,0,No,5,NA,Highly Urban/ Urban
14,6100,0,40,0,11,16988.72135,No,0,z_No,M,<High School,z_Blue Collar,20.45001583,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6,Highly Urban/ Urban
15,6195,1,37,2,13,NA,Yes,0,z_No,z_F,z_High School,z_Blue Collar,61.60320818,Commercial,9360,4,Sports Car,no,0,0,No,0,NA,Highly Urban/ Urban
16,8840.683568,0,44,2,15,16352.02931,No,134163.6382,Yes,z_F,z_High School,Home Maker,36.79485539,Private,10520,1,z_SUV,no,7838,1,No,1,1,Highly Urban/ Urban
17,2117,1,45,1,14,63952.17766,No,196367.8299,Yes,z_F,Masters,Lawyer,49.57689468,Private,32340,6,Van,no,27877,2,Yes,0,13,Highly Urban/ Urban
19,3532,1,44,2,NA,24059.72157,Yes,0,z_No,M,Bachelors,Clerical,24.4301981,Private,14220,4,Minivan,no,0,0,No,0,10,Highly Urban/ Urban
20,866,0,33,4,12,20821.8463,No,76022.38853,Yes,z_F,z_High School,Home Maker,45.90771277,Private,6880,13,z_SUV,no,7896,3,No,0,1,Highly Urban/ Urban
22,5426,0,35,2,12,NA,Yes,0,z_No,z_F,<High School,z_Blue Collar,42.50081473,Private,9730,5,z_SUV,no,0,0,No,4,4,Highly Urban/ Urban
23,4148,2,43,3,11,137102.7342,Yes,0,z_No,z_F,Masters,Manager,28.80035701,Private,19510,1,Sports Car,no,8890,3,No,0,15,Highly Urban/ Urban
24,2371,1,45,2,11,102393.1799,Yes,0,z_No,M,Bachelors,Professional,24.86796984,Private,1500,1,Minivan,yes,0,0,No,2,11,Highly Urban/ Urban
25,4178,0,62,0,15,40656.44899,No,208241.6005,Yes,z_F,z_High School,Clerical,57.09137453,Private,9170,4,Sports Car,no,42342,2,Yes,2,7,Highly Urban/ Urban
26,4804,1,37,2,12,NA,No,205211.4539,Yes,z_F,Bachelors,z_Blue Collar,43.0202791,Commercial,5200,1,z_SUV,no,2718,1,No,1,3,Highly Urban/ Urban
27,1354,0,48,0,12,31773.10396,No,165090.2964,Yes,M,z_High School,Clerical,14.45932328,Commercial,9640,13,Pickup,no,1212,1,No,4,1,Highly Urban/ Urban
28,2425,0,53,0,6,38035.58347,No,153380.5523,Yes,z_F,z_High School,z_Blue Collar,32.18028505,Commercial,13140,1,z_SUV,no,0,0,No,4,1,Highly Urban/ Urban
29,5711,0,34,3,0,0,No,66358.29913,Yes,z_F,z_High School,Home Maker,24.52000126,Private,11740,9,z_SUV,no,1800,2,No,2,1,Highly Urban/ Urban
32,7838,0,33,4,0,0,Yes,0,z_No,M,z_High School,Student,13.66285957,Commercial,15090,1,Minivan,yes,1631,1,No,2,5,Highly Urban/ Urban
33,3660,0,37,0,0,NA,No,73889.97624,Yes,z_F,Bachelors,Student,48.14333635,Commercial,12850,7,z_SUV,no,0,0,No,3,6,Highly Urban/ Urban
